Timestamp,TimeInMs,BlinkRate(perminute),CurrentEyeBehavior,LengthofBehavior,VelocityofBehavior,RespiratoryFrequenct(perminute),CurrentAccelX,CurrentAccelY,CurrentAccelZ,CurrentAngVelX,CurrentAngVelY,CurrentAngVelZ
07_07_2023__10_36_38,1688740598682,0,None,0,0,0,0.7094795,-0.6584888,-0.2571497,-0.01491416,-0.04580777,0.01331621
07_07_2023__10_36_38,1688740598699,0,Pursuit,0,42.4098854064941,0,0.7160668,-0.6565369,-0.2615413,-0.01171827,-0.04101393,0.0175774
07_07_2023__10_36_38,1688740598716,0,Pursuit,0,42.4098854064941,0,0.7160668,-0.6565369,-0.2615413,-0.01171827,-0.04101393,0.0175774
07_07_2023__10_36_38,1688740598732,0,Pursuit,0.0333404541015625,1.35698318481445,0,0.7160668,-0.6565369,-0.2615413,-0.01278356,-0.04207923,0.01278356
07_07_2023__10_36_38,1688740598749,0,Pursuit,0.0333404541015625,1.35698318481445,0,0.7160668,-0.6565369,-0.2615413,-0.01331621,-0.04793836,0.004793837
07_07_2023__10_36_38,1688740598766,0,Pursuit,0.0666656494140625,3.1215672492981,0,0.7109433,-0.6567808,-0.264225,-0.01331621,-0.04793836,0.004793837
07_07_2023__10_36_38,1688740598782,0,Pursuit,0.0666656494140625,3.1215672492981,0,0.7116752,-0.6570249,-0.2659328,-0.01544681,-0.05113425,0.01065297
07_07_2023__10_36_38,1688740598799,0,Pursuit,0.100006103515625,3.81850290298462,0,0.7116752,-0.6570249,-0.2659328,-0.01384886,-0.04793836,0.01544681
07_07_2023__10_36_38,1688740598816,0,Pursuit,0.100006103515625,3.81850290298462,0,0.7116752,-0.6570249,-0.2659328,-0.01384886,-0.04793836,0.01544681
07_07_2023__10_36_38,1688740598832,0,None,0,0,0,0.7182626,-0.6577568,-0.2683726,-0.008522375,-0.04101393,0.01811005
07_07_2023__10_36_38,1688740598849,0,None,0,0,0,0.7177746,-0.6594646,-0.2686165,0,-0.03142626,0.02290388
07_07_2023__10_36_38,1688740598866,0,None,0,0,0,0.7177746,-0.6594646,-0.2686165,0.005326485,-0.02130594,0.02503448
07_07_2023__10_36_38,1688740598883,0,None,0,0,0,0.7177746,-0.6594646,-0.2686165,0.005326485,-0.02130594,0.02503448
07_07_2023__10_36_38,1688740598899,0,Saccade,0.0333251953125,56.234504699707,0,0.7189945,-0.6609285,-0.2649569,0.007457078,-0.01118562,0.02929567
07_07_2023__10_36_38,1688740598916,0,Saccade,0.0333251953125,56.234504699707,0,0.7187505,-0.6606845,-0.2615413,0.005859133,-0.01171827,0.02982831
07_07_2023__10_36_38,1688740598933,0,Pursuit,0,15.2735624313354,0,0.7187505,-0.6606845,-0.2615413,0.005859133,-0.01171827,0.02982831
07_07_2023__10_36_38,1688740598950,0,Pursuit,0,15.2735624313354,0,0.7187505,-0.6606845,-0.2615413,0.002663242,-0.01384886,0.02823037
07_07_2023__10_36_38,1688740598966,0,Pursuit,0.0333251953125,4.08108329772949,0,0.7187505,-0.6606845,-0.2615413,0.0005326485,-0.01544681,0.03195891
07_07_2023__10_36_38,1688740598983,0,Pursuit,0.0333251953125,4.08108329772949,0,0.7165548,-0.6633682,-0.2583696,0.001065297,-0.0165121,0.03302421
